scale,seed,reference_rho,policy,utility_ratio,mean_wait,backpressure,packets,backpressure_per_1k,final_regret
0.7,5,0.1807625,ucp_gg1_feedback,0.9181790702134879,2.6082126859857615,1,4186,0.23889154323936931,13.845340651521695
0.7,6,0.17958749999999998,ucp,0.9230818432979192,2.8133156997954694,2,5498,0.3637686431429611,12.593039594335579
0.7,6,0.17958749999999998,ucp_gg1,0.9279134840921195,2.858182330756394,2,4668,0.4284490145672665,11.802003427639136
0.7,6,0.17958749999999998,ucp_gg1_feedback,0.9342081675250107,2.9439194621595455,2,4448,0.44964028776978415,10.771437939555057
0.7,7,0.185275,ucp,0.9133188771400234,2.7823045337912164,2,5696,0.351123595505618,14.323833757478013
0.7,7,0.185275,ucp_gg1,0.9169798262066516,2.727555411379885,2,4988,0.40096230954290296,13.718871291663078
0.7,7,0.185275,ucp_gg1_feedback,0.9200419135518624,2.710632621653834,2,4868,0.4108463434675431,13.212869192976285
0.7,8,0.183675,ucp,0.909960108978928,2.9881893281977434,6,5710,1.0507880910683012,15.231540631705172
0.7,8,0.183675,ucp_gg1,0.9339900601405527,2.9668918436104854,0,4590,0.0,11.166529297889582
0.7,8,0.183675,ucp_gg1_feedback,0.931271004004462,2.9735100522139075,0,4512,0.0,11.626496691753488
0.7,9,0.18425,ucp,0.9323192239117464,3.033766249497404,0,5782,0.0,11.313211100267921
0.7,9,0.18425,ucp_gg1,0.9412258461814589,2.9124833309949207,0,4848,0.0,9.8244205787731
0.7,9,0.18425,ucp_gg1_feedback,0.9381344339878925,2.840461656709856,0,4642,0.0,10.341166998733684
0.7,10,0.18339999999999998,ucp,0.9240317959030813,2.9224889271216656,3,5608,0.5349500713266762,12.389446517768079
0.7,10,0.18339999999999998,ucp_gg1,0.9314466061631058,2.929207472178786,3,4514,0.664599025254763,11.180185403226375
0.7,10,0.18339999999999998,ucp_gg1_feedback,0.9362956689230207,2.9179944724566185,3,4410,0.6802721088435374,10.38936502726196
0.7,11,0.1848125,ucp,0.9011029875868908,3.0032930458095755,1,5776,0.1731301939058172,16.73174816304973
0.7,11,0.1848125,ucp_gg1,0.9123545029392985,2.7441571244275047,1,4538,0.22036139268400176,14.828176793848087
0.7,11,0.1848125,ucp_gg1_feedback,0.9142118480809207,2.6282688455139285,0,4268,0.0,14.51394453947347
1.0,0,0.258575,ucp,0.923777016712346,5.293892158698062,44,8032,5.47808764940239,17.00515056296345
